localW	localH	local-size	tsk	trw	trh	tsw	tsh	n-size	realization	nounroll	gpu-time	Column 13
32	2	64	4	12	6	384	12	2	2	0	25.48752	
32	4	128	12	20	4	640	16	4	2	0	25.493481	
32	4	128	12	16	4	512	16	4	2	0	25.531521	
32	4	128	12	20	6	640	24	2	2	0	25.544399	
8	2	16	8	8	6	64	12	4	2	0	25.6196	
16	2	32	8	8	6	128	12	2	2	0	25.63348	
16	4	64	16	16	8	256	32	2	2	0	25.655399	
16	8	128	8	16	4	256	32	4	2	0	25.67556	
16	4	64	4	20	4	320	16	2	2	0	25.723	
16	8	128	12	16	6	256	48	2	2	0	25.7582	
16	8	128	4	16	6	256	48	2	2	0	25.831841	
16	8	128	8	16	6	256	48	2	2	0	25.91176	
8	4	32	4	20	4	160	16	2	2	0	26.034559	
16	4	64	16	16	4	256	16	4	2	0	26.051041	
32	4	128	8	20	4	640	16	2	2	0	26.177601	
8	2	16	4	8	6	64	12	4	2	0	26.342199	
32	2	64	16	8	6	256	12	4	2	0	26.49416	
16	8	128	4	8	4	128	32	4	2	0	26.565001	
32	4	128	4	20	4	640	16	2	2	0	26.57424	
16	8	128	4	8	4	128	32	2	2	0	26.684521	
16	2	32	16	8	6	128	12	4	2	0	26.831881	
16	2	32	4	20	6	320	12	4	2	0	26.83548	
32	4	128	4	16	6	512	24	2	2	0	26.852921	
32	2	64	8	20	8	640	16	4	2	0	26.86828	
32	2	64	4	20	6	640	12	4	2	0	26.868799	
32	2	64	12	16	8	512	16	4	2	0	26.951401	
16	8	128	12	12	2	192	16	2	2	0	26.95528	
32	2	64	8	16	6	512	12	4	2	0	27.064119	
32	4	128	8	16	6	512	24	2	2	0	27.079439	
16	8	128	4	20	2	320	16	2	2	0	27.086281	
16	8	128	16	16	6	256	48	2	2	0	27.347521	
16	8	128	8	8	2	128	16	4	2	0	27.548479	
16	2	32	8	20	8	320	16	4	2	0	27.603081	
16	4	64	16	20	6	320	24	4	2	0	27.628719	
16	8	128	16	8	4	128	32	2	2	0	27.636761	
8	2	16	16	8	8	64	16	4	2	0	27.69496	
16	2	32	12	8	8	128	16	2	2	0	28.062281	
8	2	16	12	8	6	64	12	4	2	0	28.217159	
16	4	64	12	20	6	320	24	2	2	0	28.33856	
32	2	64	12	12	8	384	16	4	2	0	28.40756	
16	2	32	12	12	8	192	16	4	2	0	28.4688	
16	4	64	12	12	4	192	16	2	2	0	28.4874	
32	2	64	12	8	8	256	16	2	2	0	28.72304	
32	4	128	4	16	4	512	16	4	2	0	28.912041	
16	2	32	4	16	6	256	12	2	2	0	29.070881	
8	2	16	8	16	8	128	16	4	2	0	29.100639	
32	4	128	16	8	4	256	16	2	2	0	29.229561	
16	8	128	12	8	2	128	16	4	2	0	29.32308	
16	2	32	4	20	8	320	16	2	2	0	29.42864	
16	8	128	4	8	2	128	16	4	2	0	29.489599	
32	4	128	12	12	4	384	16	2	2	0	29.51712	
16	2	32	8	12	8	192	16	2	2	0	29.555281	
16	2	32	12	16	8	256	16	4	2	0	29.835199	
16	4	64	12	16	6	256	24	2	2	0	29.852079	
32	2	64	4	20	8	640	16	2	2	0	29.94768	
16	8	128	8	20	2	320	16	2	2	0	30.00692	
16	8	128	16	12	2	192	16	2	2	0	30.35796	
16	8	128	12	20	2	320	16	2	2	0	30.45492	
16	2	32	4	12	4	192	8	4	2	0	30.5562	
16	2	32	4	8	4	128	8	2	2	0	30.56168	
16	4	64	16	20	8	320	32	2	2	0	30.68712	
32	2	64	4	12	4	384	8	4	2	0	31.007919	
16	2	32	4	16	8	256	16	2	2	0	31.03372	
16	2	32	8	8	4	128	8	4	2	0	31.131281	
32	2	64	8	8	4	256	8	4	2	0	31.19632	
16	2	32	4	8	4	128	8	4	2	0	31.25704	
16	2	32	12	8	4	128	8	4	2	0	31.52516	
32	4	128	12	16	6	512	24	2	2	0	31.624519	
32	2	64	4	16	8	512	16	2	2	0	31.656919	
8	2	16	4	12	8	96	16	4	2	0	31.695881	
32	2	64	4	16	6	512	12	2	2	0	31.76412	
32	2	64	4	8	4	256	8	4	2	0	31.857679	
32	2	64	12	8	4	256	8	4	2	0	31.959999	
8	2	16	16	8	6	64	12	4	2	0	32.054119	
32	4	128	4	12	2	384	8	4	2	0	32.104721	
16	4	64	4	12	2	192	8	4	2	0	32.231079	
8	4	32	4	8	2	64	8	2	2	0	32.254761	
32	4	128	8	12	2	384	8	4	2	0	32.336159	
16	2	32	4	12	4	192	8	2	2	0	32.401402	
32	2	64	8	12	6	384	12	2	2	0	32.537281	
16	2	32	4	20	6	320	12	2	2	0	32.565601	
8	4	32	4	12	2	96	8	4	2	0	32.578678	
16	4	64	16	16	6	256	24	2	2	0	32.618	
16	8	128	16	8	2	128	16	4	2	0	32.625481	
8	4	32	8	12	2	96	8	4	2	0	32.691559	
16	4	64	8	12	2	192	8	4	2	0	32.729279	
16	4	64	16	20	4	320	16	4	2	0	32.8232	
8	4	32	8	8	2	64	8	2	2	0	32.847401	
16	2	32	8	20	6	320	12	4	2	0	32.967041	
16	8	128	4	16	4	256	32	4	2	0	33.074001	
16	2	32	4	16	4	256	8	4	2	0	33.099442	
32	2	64	16	12	8	384	16	4	2	0	33.297321	
32	2	64	8	20	6	640	12	4	2	0	33.400478	
32	2	64	4	20	6	640	12	2	2	0	33.452122	
16	2	32	4	20	4	320	8	4	2	0	33.51548	
32	2	64	4	12	4	384	8	2	2	0	33.538559	
8	4	32	4	8	2	64	8	4	2	0	33.548321	
16	4	64	12	12	2	192	8	4	2	0	33.570042	
32	2	64	4	8	4	256	8	2	2	0	33.739799	
16	4	64	4	12	2	192	8	2	2	0	33.84132	
8	4	32	8	8	2	64	8	4	2	0	33.906281	
16	4	64	4	16	4	256	16	2	2	0	33.96484	
8	4	32	4	12	2	96	8	2	2	0	34.000359	
16	2	32	8	12	6	192	12	2	2	0	34.017681	
32	4	128	16	12	4	384	16	2	2	0	34.033119	
32	2	64	4	16	4	512	8	4	2	0	34.08564	
16	4	64	4	8	2	128	8	4	2	0	34.087639	
16	4	64	8	8	2	128	8	4	2	0	34.09988	
16	2	32	8	16	8	256	16	2	2	0	34.16304	
32	4	128	8	8	2	256	8	4	2	0	34.31184	
8	2	16	4	16	8	128	16	4	2	0	34.377838	
16	4	64	12	8	2	128	8	4	2	0	34.444561	
32	4	128	4	8	2	256	8	4	2	0	34.457081	
8	2	16	12	16	8	128	16	4	2	0	34.562599	
32	2	64	4	20	4	640	8	4	2	0	34.620361	
16	2	32	16	8	8	128	16	2	2	0	34.67284	
32	4	128	12	12	2	384	8	4	2	0	34.756241	
32	2	64	12	16	6	512	12	4	2	0	34.981682	
32	2	64	16	8	8	256	16	2	2	0	34.983559	
16	4	64	4	20	2	320	8	4	2	0	35.02528	
32	4	128	4	20	2	640	8	4	2	0	35.119801	
16	2	32	16	16	8	256	16	4	2	0	35.199841	
32	4	128	4	12	2	384	8	2	2	0	35.21764	
8	2	16	4	8	4	64	8	4	2	0	35.219639	
16	4	64	8	16	4	256	16	2	2	0	35.315559	
8	2	16	4	12	6	96	12	4	2	0	35.341801	
8	2	16	8	8	4	64	8	4	2	0	35.3666	
